text,label
"Chào mọi người, mình mới tham gia nhóm",0
"Bài toán này khó quá, ai giúp mình với",0
"Hôm nay trời đẹp thật",0
"Thầy giáo giảng bài hay quá",0
"Mọi người đang làm gì thế?",0
"Mình nộp bài tập rồi nhé",0
"Đề thi năm nay dễ vãi",0
"vãi thật, làm mãi không ra",0
"đm mày ngu thế",1
"địt cụ mày",1
"thằng chó này",1
"ngu như bò",1
"con phò",1
"dcm mày",1
"vcl m ngu thế",1
"đệt mịa",1
"cc nè",1
"cái lồn",1
"vl thật",1
"thằng lồn",1
"đĩ chó",1
"cút mẹ mày đi",1
"ăn cứt đi",1
"óc chó à",1
"bố sư tiên",1
"mả cha mày",1
"đm",1
"dkm",1
"đcm",1
"vkl",1
"vãi lồn",1
"con đĩ",1
"điên à",0
"khùng hả",0
"ngu xuẩn",1
"hỏi ngu tí",0
"bài này dễ mà",0
"cái đéo gì thế",1
"đéo biết làm",1
"đếch cần",1
"thằng điên",1
"con mẹ mày",1
"như cái l",1
"như cặc",1
"ngu si tứ chi phát triển",1
"tao lạy mày",0
"clgt",1
"đụ má",1
"đụ",1
"bitch",1
"fuck",1
"shit",1
"đồ con lợn",1
"mày là cái thá gì",1
"im mồm",1
"câm mồm",1
"biến đi",1
"địt mẹ",1
"địt",1
"dit me",1
"dm",1
"dcmm",1
"vãi đái",1
"vãi loz",1
"loz",1
"lồn",1
"cặc",1
"buồi",1
"đm mày",1
"đĩ",1
"đĩ điếm",1
"phò",1
"điếm",1
"ngu lồn",1
"ngu học",1
"ngáo chó",1
"óc bã đậu",1
"thằng ranh con",1
"bố láo",1
"mất dạy",1
"vô học",1
"súc vật",1
"cẩu trĩ",1
"thằng mặt lồn",1
"con mặt cặc",1
"hãm lồn",1
"hãm",0
"bài này khó vãi",0
"chán quá",0
"đi ngủ đây",0
"bye anh em",0
"chào các bạn",0
"hôm nay học bài gì thế",0
"giải giúp tớ bài 5 với",0
"cảm ơn nhiều nhé",0
"không có gì",0
"tuyệt vời",0
"ok bạn",0
"đỉnh quá",0
"đúng rồi đó",0
"hiểu rồi",0
"chưa hiểu lắm",0
"giảng lại giúp mình",0
"chúc ngủ ngon",0
"đm khó vcl",1
"bài đéo gì khó thế",1
"thầy dạy như cái lồn",1
"học sinh cá biệt",0
"trường học",0
"lớp 12",0
"thi đại học",0
"điểm 10",0
"điểm kém",0
"ngu thì chết",1
"sống làm đéo gì",1
"nhảy lầu đi",1
"chết cụ mày đi",1
vcll,1
vll,1
vl,1
"vãi lìn",1
"vãi lol",1
"đm mày",1
dcmm,1
đmm,1
"đkm mày",1
vcl,1
vc,1
"địt con cụ mày",1
"chó đẻ",1
"đĩ thõa",1
"phò phạch",1
clm,1
clmm,1
"cái đjt",1
"địt",1
"cái củ lồn",1
"mặt lồn",1
"hãm lol",1
"óc chó",1
"óc cặc",1
"ngu vcl",1
"ngu vkl",1
"bố sư mày",1
"tổ sư bố",1
"tiên sư bố mày",1
"đĩ mẹ mày",1
"mẹ cha mày",1
"con cẹc",1
"cái qq",1
"đụ đĩ",1
"đụ mẹ",1
"thằng mặt cặc",1
"bố láo bố lếu",1
"súc sanh",1
"súc sinh",1
"nứng lồn",1
"xàm lồn",1
"xạo lồn",1
xl,1
"xàm lol",1
"như cái đầu buồi",1
"như cái đb",1
vklm,1
hello,0
hi,0
"xin chào",0
alo,0
test,0
"mọi người",0
"chúc ngủ ngon",0
"bai bai",0
"tạm biệt",0
"cảm ơn",0
thanks,0
"giúp mình với",0
help,0
ok,0
okay,0
"hôm nay mình học bài đm khó quá",1
"bạn ơi giúp mình cái bài này vcl khó",1
"thầy cho bài tập đéo ai làm được",1
"thi xong rồi vl đề khó quá",1
"mấy đứa lớp bên ngu như bò á",1
"mình vừa nộp bài xong đm muốn chết",1
"hôm nay trời đẹp thật nhưng đm bài nhiều quá",1
"cái bài số 3 làm sao vậy đcm khó vãi",1
"mọi người ơi giúp mình bài này cái lồn nó khó",1
"ai làm xong bài chưa dm mình chưa làm",1
"thầy vừa giảng xong mà đéo hiểu gì hết",1
"bài kiểm tra hôm nay dễ vcl luôn á",1
"tao vừa bị điểm kém đm buồn thật",1
"mấy thằng ngu kia đừng chép bài tao",1
"con nhỏ đó đĩ lắm đừng chơi với nó",1
"ông thầy dạy dở vcl mà cứ ra đề khó",1
"bài tập nhóm mà mấy đứa kia lười như chó",1
"ngày mai thi rồi mà chưa học đéo gì hết",1
"cái trường này mất dạy thật sự",1
"thằng kia vô học lắm đừng để ý",1
"mình mới chuyển trường mọi người cho mình hỏi",0
"bạn nào có tài liệu cho mình xin",0
"cảm ơn bạn đã giúp mình rất nhiều",0
"bài toán này giải bằng phương pháp nào vậy",0
"mình cần tìm bạn học nhóm môn toán",0
"tuần sau thi giữa kỳ ai ôn chung không",0
"thầy cho deadline tuần sau nha mọi người",0
"bạn giỏi quá dạy mình với",0
"file bài giảng hôm nay ai có cho mình xin",0
"mình upload tài liệu rồi nhé mọi người tải về",0
"lớp mình có nhóm học không nhỉ",0
"hôm nay cô cho nghỉ sớm nha",0
"bạn ơi mình chưa hiểu phần này lắm",0
"ai biết công thức này chỉ mình với",0
"bài tập về nhà trang mấy vậy mọi người",0
"mình xin phép vắng buổi họp nhóm ngày mai",0
"cái app này hay quá dùng học tiện thật",0
"mọi người nhớ nộp bài trước 12h đêm nhé",0
"chúc mọi người cuối tuần vui vẻ",0
"kết quả thi ra rồi mọi người xem chưa",0
"h0m nay bai d!t kho qua",1
"may dua nay l0n the",1
"thay day v.l that",1
"c4c nay",1
"thang c h o",1